chain,symbol,borrow_rate,ltv,liquidation_threshold,is_frozen,borrowing_enabled,risk_level
arbitrum,USDC,0.06103582876552283,0.75,0.78,False,True,MEDIUM
arbitrum,FRAX,0.05231605530986188,0.0,0.72,False,False,MEDIUM
arbitrum,ARB,0.022855623096786164,0.58,0.63,False,True,LOW
arbitrum,weETH,0.012784909457201664,0.75,0.77,False,True,LOW
arbitrum,GHO,0.06258738588845215,0.0,0.0,False,True,MEDIUM
arbitrum,ezETH,0.0,0.0005,0.001,False,False,LOW
arbitrum,rsETH,0.0,0.0005,0.001,False,False,LOW
arbitrum,tBTC,0.0,0.73,0.78,False,False,LOW
optimism,DAI,0.06495129290679463,0.63,0.77,False,True,MEDIUM
optimism,LINK,0.0025048241996563905,0.66,0.71,False,True,LOW
optimism,USDC,0.07633045300037795,0.75,0.785,False,True,MEDIUM
optimism,WBTC,0.0023533600435815833,0.73,0.78,False,True,LOW
optimism,WETH,0.022844109562513974,0.8,0.83,False,True,LOW
optimism,USDT,0.0710157509397372,0.75,0.78,False,True,MEDIUM
optimism,AAVE,0.0,0.63,0.7,False,False,LOW
optimism,sUSD,0.05485119316063418,0.0,0.7,False,False,MEDIUM
optimism,OP,0.010864028814610053,0.58,0.63,False,True,LOW
optimism,wstETH,0.002837981588604152,0.75,0.79,False,True,LOW
optimism,LUSD,0.0713794306106532,0.0,0.0,False,True,MEDIUM
optimism,MAI,0.036483018627682696,0.0,0.01,True,True,LOW
optimism,rETH,0.000381010927748403,0.69,0.74,False,True,LOW
optimism,USDC,0.06342234088337317,0.75,0.78,False,True,MEDIUM
avalanche,DAI.e,0.05501542048599997,0.63,0.77,False,True,MEDIUM
avalanche,LINK.e,0.007425543820624588,0.66,0.71,False,True,LOW
avalanche,USDC,0.06397041433149993,0.75,0.795,False,True,MEDIUM
avalanche,WBTC.e,0.006512462232939847,0.0,0.67,True,True,LOW
avalanche,WETH.e,0.0270933767096715,0.8,0.83,False,True,LOW
avalanche,USDt,0.06017413770531792,0.75,0.78,False,True,MEDIUM
avalanche,AAVE.e,0.0,0.63,0.7,False,False,LOW
avalanche,WAVAX,0.03538512690189122,0.68,0.73,False,True,LOW
avalanche,sAVAX,0.0,0.5,0.55,False,False,LOW
avalanche,FRAX,0.3900609119838073,0.0,0.77,False,False,CRITICAL
avalanche,MAI,1.2581974833322587,0.0,0.01,True,True,CRITICAL
avalanche,BTC.b,0.0037394118296624175,0.7,0.75,False,True,LOW
avalanche,AUSD,0.06441143768399836,0.69,0.72,False,True,MEDIUM
avalanche,GHO,0.039905281093543965,0.0,0.0,False,True,LOW
avalanche,EURC,0.10214453493184353,0.75,0.78,False,True,HIGH
